,Learner,Method,PEHE,CATE true mean,CATE true var,Normalized PEHE
0,DRLearner,htce,0.10932390180062061,-1.2639823150876222,0.08149996390297977,0.382945010363494
1,TARNet,htce,0.14486551581021337,-1.2639823150876222,0.08149996390297977,0.5074418817801483
2,TLearner,htce,0.10766099907915498,-1.2639823150876222,0.08149996390297977,0.3771201148976653
3,SLearner,htce,0.13693563561966213,-1.2639823150876222,0.08149996390297977,0.47966471684424883
4,DRLearner,target,0.2670764602162119,-1.2639823150876222,0.08149996390297977,0.9355282435113559
5,TARNet,target,0.2069799341925122,-1.2639823150876222,0.08149996390297977,0.725019247748226
6,TLearner,target,0.253488233512281,-1.2639823150876222,0.08149996390297977,0.8879307508290303
7,SLearner,target,0.532713183752934,-1.2639823150876222,0.08149996390297977,1.866013308279847
8,DRLearner,radial_gan,0.1876486435152691,-1.2639823150876222,0.08149996390297977,0.6573046749347029
9,TARNet,radial_gan,0.14343095348678617,-1.2639823150876222,0.08149996390297977,0.5024168280200492
10,TLearner,radial_gan,0.17681629634561993,-1.2639823150876222,0.08149996390297977,0.6193606093569162
11,SLearner,radial_gan,0.18853196867210723,-1.2639823150876222,0.08149996390297977,0.6603988286903621
12,DRLearner,shared_source_target,0.2591507758455213,-1.2639823150876222,0.08149996390297977,0.9077657758946479
13,TARNet,shared_source_target,0.2470327621735461,-1.2639823150876222,0.08149996390297977,0.865318215985355
14,TLearner,shared_source_target,0.2574846177942948,-1.2639823150876222,0.08149996390297977,0.9019294775034893
15,SLearner,shared_source_target,0.24858448005460917,-1.2639823150876222,0.08149996390297977,0.8707536478557671
