,Learner,Method,PEHE,CATE true mean,CATE true var,Normalized PEHE,Selection bias source,Selection bias target
0,DRLearner,htce,0.039392875986007915,-1.7372353292093925,0.2070440033448482,0.08657377609877434,0,0.0
1,TARNet,htce,0.06097908955425853,-1.7372353292093925,0.2070440033448482,0.1340138264505648,0,0.0
2,TLearner,htce,0.052592191086145386,-1.7372353292093925,0.2070440033448482,0.11558192850029884,0,0.0
3,SLearner,htce,0.1151659807541959,-1.7372353292093925,0.2070440033448482,0.2531004295180406,0,0.0
4,DRLearner,target,0.19954273219123853,-1.7372353292093925,0.2070440033448482,0.43853532869745276,0,0.0
5,TARNet,target,0.35537122607529964,-1.7372353292093925,0.2070440033448482,0.7809998175588329,0,0.0
6,TLearner,target,0.27654758671869145,-1.7372353292093925,0.2070440033448482,0.6077690002056293,0,0.0
7,SLearner,target,0.39945451281041106,-1.7372353292093925,0.2070440033448482,0.8778817156172326,0,0.0
8,DRLearner,radial_gan,0.17826320597533343,-1.7372353292093925,0.2070440033448482,0.39176928554898804,0,0.0
9,TARNet,radial_gan,0.16447720060183024,-1.7372353292093925,0.2070440033448482,0.36147176315112883,0,0.0
10,TLearner,radial_gan,0.19376455546174517,-1.7372353292093925,0.2070440033448482,0.4258366219918041,0,0.0
11,SLearner,radial_gan,0.22026938509906122,-1.7372353292093925,0.2070440033448482,0.4840863214392928,0,0.0
12,DRLearner,shared_source_target,0.35857409339220153,-1.7372353292093925,0.2070440033448482,0.7880387633333438,0,0.0
13,TARNet,shared_source_target,0.42234906086702456,-1.7372353292093925,0.2070440033448482,0.9281970944192247,0,0.0
14,TLearner,shared_source_target,0.3973859695336757,-1.7372353292093925,0.2070440033448482,0.8733356752988177,0,0.0
15,SLearner,shared_source_target,0.39305328383748883,-1.7372353292093925,0.2070440033448482,0.8638137261651399,0,0.0
0,DRLearner,htce,0.040723085996989795,-1.7372353292093925,0.2070440033448482,0.08949718041421446,0,0.5
1,TARNet,htce,0.06866050686079099,-1.7372353292093925,0.2070440033448482,0.1508952875110164,0,0.5
2,TLearner,htce,0.05981181089545177,-1.7372353292093925,0.2070440033448482,0.1314484965851265,0,0.5
3,SLearner,htce,0.08580652426094693,-1.7372353292093925,0.2070440033448482,0.1885771128216141,0,0.5
4,DRLearner,target,0.1929893778609521,-1.7372353292093925,0.2070440033448482,0.4241330131445678,0,0.5
5,TARNet,target,0.16494936088669065,-1.7372353292093925,0.2070440033448482,0.36250943043895917,0,0.5
6,TLearner,target,0.2879954315061435,-1.7372353292093925,0.2070440033448482,0.6329279439647603,0,0.5
7,SLearner,target,0.43041526621472903,-1.7372353292093925,0.2070440033448482,0.9459242046710109,0,0.5
8,DRLearner,radial_gan,0.18995172940255564,-1.7372353292093925,0.2070440033448482,0.41745716907577196,0,0.5
9,TARNet,radial_gan,0.3698666352698495,-1.7372353292093925,0.2070440033448482,0.812856397680447,0,0.5
10,TLearner,radial_gan,0.19299366320027736,-1.7372353292093925,0.2070440033448482,0.42414243104051896,0,0.5
11,SLearner,radial_gan,0.21403793377759275,-1.7372353292093925,0.2070440033448482,0.47039145255825854,0,0.5
12,DRLearner,shared_source_target,0.3910410783854041,-1.7372353292093925,0.2070440033448482,0.859391499559106,0,0.5
13,TARNet,shared_source_target,0.419096797996595,-1.7372353292093925,0.2070440033448482,0.9210495919708395,0,0.5
14,TLearner,shared_source_target,0.4065192500418322,-1.7372353292093925,0.2070440033448482,0.8934078980540512,0,0.5
15,SLearner,shared_source_target,0.37285379146762504,-1.7372353292093925,0.2070440033448482,0.819421274840727,0,0.5
0,DRLearner,htce,0.03213963284551586,-1.7372353292093925,0.2070440033448482,0.07063331397415135,0,1.0
1,TARNet,htce,0.04508215793446618,-1.7372353292093925,0.2070440033448482,0.0990771186255696,0,1.0
2,TLearner,htce,0.048566595018393326,-1.7372353292093925,0.2070440033448482,0.10673487065264482,0,1.0
3,SLearner,htce,0.11492037682587528,-1.7372353292093925,0.2070440033448482,0.2525606654371707,0,1.0
4,DRLearner,target,0.19831886172765534,-1.7372353292093925,0.2070440033448482,0.4358456269471721,0,1.0
5,TARNet,target,0.17071272228198944,-1.7372353292093925,0.2070440033448482,0.375175577464887,0,1.0
6,TLearner,target,0.275596740455243,-1.7372353292093925,0.2070440033448482,0.605679324104159,0,1.0
7,SLearner,target,0.44181800997230763,-1.7372353292093925,0.2070440033448482,0.9709840298366309,0,1.0
8,DRLearner,radial_gan,0.1566171499169019,-1.7372353292093925,0.2070440033448482,0.34419771927670584,0,1.0
9,TARNet,radial_gan,0.16622740222916604,-1.7372353292093925,0.2070440033448482,0.3653181836020372,0,1.0
10,TLearner,radial_gan,0.20913988758200627,-1.7372353292093925,0.2070440033448482,0.4596270099009422,0,1.0
11,SLearner,radial_gan,0.19931779694240512,-1.7372353292093925,0.2070440033448482,0.4380409882010609,0,1.0
12,DRLearner,shared_source_target,0.3922000164783795,-1.7372353292093925,0.2070440033448482,0.8619384993518917,0,1.0
13,TARNet,shared_source_target,0.3939995961841347,-1.7372353292093925,0.2070440033448482,0.8658934380716056,0,1.0
14,TLearner,shared_source_target,0.3869013273037907,-1.7372353292093925,0.2070440033448482,0.8502935630852229,0,1.0
15,SLearner,shared_source_target,0.3890812874939192,-1.7372353292093925,0.2070440033448482,0.8550844645028157,0,1.0
0,DRLearner,htce,0.048970965314958946,-1.7372353292093925,0.2070440033448482,0.10762355579277781,0,2.0
1,TARNet,htce,0.07047742136125842,-1.7372353292093925,0.2070440033448482,0.15488832293219143,0,2.0
2,TLearner,htce,0.07160211192064564,-1.7372353292093925,0.2070440033448482,0.15736005687472912,0,2.0
3,SLearner,htce,0.13888775552557747,-1.7372353292093925,0.2070440033448482,0.3052338055744777,0,2.0
4,DRLearner,target,0.22350572635171428,-1.7372353292093925,0.2070440033448482,0.4911988329270535,0,2.0
5,TARNet,target,0.20843467162889986,-1.7372353292093925,0.2070440033448482,0.45807715586014547,0,2.0
6,TLearner,target,0.2958908447441733,-1.7372353292093925,0.2070440033448482,0.6502797041693028,0,2.0
7,SLearner,target,0.53683748449551,-1.7372353292093925,0.2070440033448482,1.1798084557383297,0,2.0
8,DRLearner,radial_gan,0.17501802910078876,-1.7372353292093925,0.2070440033448482,0.38463735600321075,0,2.0
9,TARNet,radial_gan,0.23920162771193287,-1.7372353292093925,0.2070440033448482,0.5256937362824385,0,2.0
10,TLearner,radial_gan,0.1822457493077331,-1.7372353292093925,0.2070440033448482,0.4005217263427321,0,2.0
11,SLearner,radial_gan,0.2535003878050549,-1.7372353292093925,0.2070440033448482,0.5571181404115437,0,2.0
12,DRLearner,shared_source_target,0.3882874497570899,-1.7372353292093925,0.2070440033448482,0.8533398462497228,0,2.0
13,TARNet,shared_source_target,0.40019055890021427,-1.7372353292093925,0.2070440033448482,0.8794993250905707,0,2.0
14,TLearner,shared_source_target,0.39357432000596043,-1.7372353292093925,0.2070440033448482,0.8649588080475759,0,2.0
15,SLearner,shared_source_target,0.41399434450216244,-1.7372353292093925,0.2070440033448482,0.9098359231201998,0,2.0
0,DRLearner,htce,0.08133621905359041,-1.7372353292093925,0.2070440033448482,0.17875271710467452,0,5.0
1,TARNet,htce,0.1505380307151205,-1.7372353292093925,0.2070440033448482,0.33083763089829654,0,5.0
2,TLearner,htce,0.1388721560683784,-1.7372353292093925,0.2070440033448482,0.30519952262658395,0,5.0
3,SLearner,htce,0.1769477141687201,-1.7372353292093925,0.2070440033448482,0.3888782274509206,0,5.0
4,DRLearner,target,0.38580619196707494,-1.7372353292093925,0.2070440033448482,0.8478867826949725,0,5.0
5,TARNet,target,0.43088343106975924,-1.7372353292093925,0.2070440033448482,0.9469530911973741,0,5.0
6,TLearner,target,0.3724057714950364,-1.7372353292093925,0.2070440033448482,0.8184366607493759,0,5.0
7,SLearner,target,0.7723639676700583,-1.7372353292093925,0.2070440033448482,1.6974253219688538,0,5.0
