,Learner,Method,PEHE,CATE true mean,CATE true var,Normalized PEHE,Target dataset size
0,TARNet,htce,0.10015660909857284,-1.1577071258207279,0.009602604035909078,1.0220804988986505,50
1,TLearner,htce,0.09919118404595238,-1.1577071258207279,0.009602604035909078,1.01222850682032,50
2,SLearner,htce,0.11398244708279374,-1.1577071258207279,0.009602604035909078,1.1631707326015184,50
3,DRLearner,htce,0.08495199318292827,-1.1577071258207279,0.009602604035909078,0.8669200800257456,50
4,TARNet,target,0.16315015095948693,-1.1577071258207279,0.009602604035909078,1.6649184630836174,50
5,TLearner,target,0.13485031376277032,-1.1577071258207279,0.009602604035909078,1.3761236248687636,50
6,SLearner,target,0.36243826686044905,-1.1577071258207279,0.009602604035909078,3.698618473076566,50
7,DRLearner,target,0.16435911109182524,-1.1577071258207279,0.009602604035909078,1.6772556876195719,50
8,TARNet,radial_gan,0.12021546162415084,-1.1577071258207279,0.009602604035909078,1.2267775446672393,50
9,TLearner,radial_gan,0.13180811456774608,-1.1577071258207279,0.009602604035909078,1.3450785196182529,50
10,SLearner,radial_gan,0.18494264864420118,-1.1577071258207279,0.009602604035909078,1.8873070513785641,50
11,DRLearner,radial_gan,0.12590590117553682,-1.1577071258207279,0.009602604035909078,1.2848474748294023,50
12,TARNet,shared_source_target,0.5577345986543282,-1.1577071258207279,0.009602604035909078,5.691583031576267,50
13,TLearner,shared_source_target,0.5634923977411664,-1.1577071258207279,0.009602604035909078,5.750340353895775,50
14,SLearner,shared_source_target,0.5538946373221943,-1.1577071258207279,0.009602604035909078,5.652396904675384,50
15,DRLearner,shared_source_target,0.5625258923379552,-1.1577071258207279,0.009602604035909078,5.740477337030557,50
0,TARNet,htce,0.1086103423618635,-1.154285989852555,0.012487342011289208,0.9719326674771078,100
1,TLearner,htce,0.09772290962854574,-1.154285989852555,0.012487342011289208,0.8745031657523556,100
2,SLearner,htce,0.09780359618963488,-1.154285989852555,0.012487342011289208,0.875225213973948,100
3,DRLearner,htce,0.09298229783167622,-1.154285989852555,0.012487342011289208,0.8320803598849956,100
4,TARNet,target,0.17331983094942754,-1.154285989852555,0.012487342011289208,1.551005198566692,100
5,TLearner,target,0.14184996416837184,-1.154285989852555,0.012487342011289208,1.269387528457951,100
6,SLearner,target,0.2719497094985187,-1.154285989852555,0.012487342011289208,2.433624651434022,100
7,DRLearner,target,0.13455493520604545,-1.154285989852555,0.012487342011289208,1.2041057440119214,100
8,TARNet,radial_gan,0.49760540711660467,-1.154285989852555,0.012487342011289208,4.452973263618904,100
9,TLearner,radial_gan,0.23709135268004267,-1.154285989852555,0.012487342011289208,2.121684048083649,100
10,SLearner,radial_gan,0.16507243106007496,-1.154285989852555,0.012487342011289208,1.4772008333479383,100
11,DRLearner,radial_gan,0.16696351566921597,-1.154285989852555,0.012487342011289208,1.4941237788853303,100
12,TARNet,shared_source_target,0.5050274936239703,-1.154285989852555,0.012487342011289208,4.519392061133741,100
13,TLearner,shared_source_target,0.5174447472283982,-1.154285989852555,0.012487342011289208,4.630511630007589,100
14,SLearner,shared_source_target,0.5341334382411967,-1.154285989852555,0.012487342011289208,4.779855455098652,100
15,DRLearner,shared_source_target,0.5002007286222582,-1.154285989852555,0.012487342011289208,4.476198287121235,100
0,TARNet,htce,0.043021275375488284,-1.1273846696441105,0.015334771838425664,0.34741184504997347,200
1,TLearner,htce,0.038031882867884545,-1.1273846696441105,0.015334771838425664,0.3071207555456225,200
2,SLearner,htce,0.07740944154193413,-1.1273846696441105,0.015334771838425664,0.6251083138668148,200
3,DRLearner,htce,0.028453503709008256,-1.1273846696441105,0.015334771838425664,0.2297719938659682,200
4,TARNet,target,0.10832420057756725,-1.1273846696441105,0.015334771838425664,0.8747558053022716,200
5,TLearner,target,0.16122252817118837,-1.1273846696441105,0.015334771838425664,1.3019283014442287,200
6,SLearner,target,0.2009874925800514,-1.1273846696441105,0.015334771838425664,1.6230442965665104,200
7,DRLearner,target,0.12993464782944247,-1.1273846696441105,0.015334771838425664,1.0492677249653202,200
8,TARNet,radial_gan,0.15827083122312183,-1.1273846696441105,0.015334771838425664,1.2780923162530402,200
9,TLearner,radial_gan,0.16522539457326177,-1.1273846696441105,0.015334771838425664,1.3342528476157538,200
10,SLearner,radial_gan,0.1780048682331207,-1.1273846696441105,0.015334771838425664,1.4374515669514596,200
11,DRLearner,radial_gan,0.1466730996755466,-1.1273846696441105,0.015334771838425664,1.184436577780139,200
12,TARNet,shared_source_target,0.4923311058323602,-1.1273846696441105,0.015334771838425664,3.9757458689884952,200
13,TLearner,shared_source_target,0.48964242534915503,-1.1273846696441105,0.015334771838425664,3.954033833739248,200
14,SLearner,shared_source_target,0.4731893325508239,-1.1273846696441105,0.015334771838425664,3.8211693550375454,200
15,DRLearner,shared_source_target,0.46945198479399214,-1.1273846696441105,0.015334771838425664,3.7909889647896526,200
0,TARNet,htce,0.11896930733749407,-1.1524549686962473,0.01600902759406684,0.9402697328332316,300
